roll,pitch,koreksi_z
-15,-15,-21.8379
-15,-10,-21.8379
-15,-5,-21.8379
-15,0,-21.8379
-15,5,-21.8379
-15,10,-21.8379
-15,15,-21.8379
-10,-15,-14.3706
-10,-10,-14.3706
-10,-5,-14.3706
-10,0,-14.3706
-10,5,-14.3706
-10,10,-14.3706
-10,15,-14.3706
-5,-15,-7.1303
-5,-10,-7.1303
-5,-5,-7.1303
-5,0,-7.1303
-5,5,-7.1303
-5,10,-7.1303
-5,15,-7.1303
0,-15,0.0
0,-10,0.0
0,-5,0.0
0,0,0.0
0,5,0.0
0,10,0.0
0,15,0.0
5,-15,7.1303
5,-10,7.1303
5,-5,7.1303
5,0,7.1303
5,5,7.1303
5,10,7.1303
5,15,7.1303
10,-15,14.3706
10,-10,14.3706
10,-5,14.3706
10,0,14.3706
10,5,14.3706
10,10,14.3706
10,15,14.3706
15,-15,21.8379
15,-10,21.8379
15,-5,21.8379
15,0,21.8379
15,5,21.8379
15,10,21.8379
15,15,21.8379
